Line_number,Bias,Input_number
63,0,1
73,0,1
75,1,1
79,0,1
91,0,1
93,1,1
97,0,1
118,0,1
120,1,1
124,0,1
126,0,1
127,1,1
128,1,1
133,1,1
135,1,1
148,1,1
63,0,2
73,0,2
75,1,2
79,0,2
91,0,2
93,1,2
97,0,2
118,0,2
120,0,2
124,0,2
126,0,2
127,1,2
128,1,2
133,1,2
135,1,2
148,1,2
63,0,3
73,0,3
75,1,3
79,0,3
91,0,3
93,1,3
97,0,3
118,0,3
120,0,3
124,0,3
126,0,3
127,1,3
128,1,3
133,1,3
135,1,3
148,1,3
63,1,4
73,0,4
75,0,4
79,0,4
91,0,4
93,0,4
97,0,4
118,0,4
120,1,4
124,0,4
126,1,4
127,0,4
128,1,4
133,1,4
135,1,4
148,1,4
